ID Loja;Lojista;Cluster;Mundo;Responsável
10106;DOURAL;AA;Cauda Longa;Ana Pontes
10194;Mega Empório;A;Cauda Longa;Ana Pontes
10253;e-Lustre;A;Cauda Longa;Ana Pontes
10472;BemFixa;A;Cauda Longa;Suporte
10120;TODOLIVRO;A;Cauda Longa;Suporte
10162;Spank Store;A;Cauda Longa;Ana Pontes
10313;Grão de Gente;A;Cauda Longa;Suporte
11001;Nano Labs;A;Cauda Longa;Suporte
10055;SHOPFISIO;AAA;Cauda Longa;Priscila
10381;Kutiz beauté;A;Cauda Longa;Suporte
10328;Blue Pack;A;Cauda Longa;Suporte
10094;Sofá Cama Futon;A;Cauda Longa;Suporte
10338;HTS Latarias;A;Cauda Longa;Suporte
11251;MAISGAME;A;Cauda Longa;Suporte
12014;Pneumarket;A;Cauda Longa;Suporte
13602;JOIAS GOLD;A;Cauda Longa;Ana Pontes
12316;FORTÃO SUPLEMENTOS;A;Cauda Longa;Ana Pontes
11270;Aix Casa;A;Cauda Longa;Ana Pontes
13601;AMAR AMAR;A;Cauda Longa;Ana Pontes
11917;SóEletroMóveis;A;Móveis;Suporte
11955;POISONCAR;A;Cauda Longa;Ana Pontes
11312;Nutriva;A;Cauda Longa;Suporte
10762;Reference;A;Cauda Longa;Ana Pontes
12331;O Bruto das Vendas;A;Tecnologia;Ana pontes
10181;Joias Lulean;AAA;Cauda Longa;Felipe 
13807;Site dos Pés;A;Cauda Longa;Suporte
13629;WNH;A;Cauda Longa;Ana Pontes
11639;Surfista de Trem;A;Cauda Longa;Ana Pontes
12401;Lecasanet;AAA;Cauda Longa;Paloma
12159;MAGAZINE10;A;Cauda Longa;Ana Pontes
11862;Janus Magazine;A;Cauda Longa;Suporte
14087;Fotolux;A;Cauda Longa;Suporte
11667;BBBaterias;A;Cauda Longa;Suporte
12350;PONTO PRIME;A;Cauda Longa;Ana Pontes
11776;Comprasom;A;Cauda Longa;Suporte
11522;Guaraci Digital;A;Cauda Longa;Suporte
12355;Ventilador Spirit;A;Linha Branca;Ana pontes
11769;Casa das Impressoras;A;Cauda Longa;Ana Pontes
13610;CASA DO SUPORTE;AAA;Tecnologia;Ana pontes
11705;Netautomotive;A;Cauda Longa;Ana Pontes
12169;Escritório e Papel;A;Cauda Longa;Ana Pontes
11098;Valdo Bike;A;Cauda Longa;Ana Pontes
11871;VCompra;A;Cauda Longa;Suporte
11323;MISTER IMAGEM;A;Tecnologia;Ana pontes
11166;Mais Construção;A;Cauda Longa;Suporte
14112;Essencial Enxovais;A;Cauda Longa;Ana Pontes
11539;ADECIL.COM;A;Cauda Longa;Suporte
12406;Cartuchos Web;A;Cauda Longa;Ana Pontes
13619;INFOMACHINE;A;Cauda Longa;Suporte
11706;Bordon Casa;A;Cauda Longa;Suporte
13850;Guitar Shop;A;Cauda Longa;Ana Pontes
10186;Amochila;A;Cauda Longa;Suporte
12307;SPEED MOTOS;A;Cauda Longa;Suporte
12016;Desk Tecnologia;A;Cauda Longa;Ana Pontes
14079;Ds Diagnóstica;A;Cauda Longa;Ana Pontes
11092;Vênus Decor;A;Cauda Longa;Suporte
14128;Meu Salão;A;Cauda Longa;Ana Pontes
11613;Angela Magazine;A;Cauda Longa;Suporte
13786;Store Case;A;Cauda Longa;Ana Pontes
12022;Grupo Nato Eletro;AA;Cauda Longa;Ana Pontes
12303;SQI Informática;A;Cauda Longa;Suporte
11250;DLD STORE;A;Cauda Longa;Suporte
11824;Shop4Men;A;Cauda Longa;Ana Pontes
11055;Divine Enxovais;A;Cauda Longa;Ana Pontes
12278;ACQUA PERFUMES;A;Cauda Longa;Ana Pontes
12224;Cepel;AAA;Cauda Longa;Marcella
13799;P7 Shop;A;Cauda Longa;Suporte
14117;DBR PARTS;AA;Cauda Longa;Decom
14114;Fast Games;A;Tecnologia;Suporte
14203;Torch Tools;A;Cauda Longa;Suporte
13595;VILLATRADE;A;Linha Branca;Ana pontes
14353;LIFETOYOU;A;Cauda Longa;Ana Pontes
14123;Via Nutrição;A;Tecnologia;Ana pontes
